Timestamp,Dominant_Emotion,Confidence,Top_3_Emotions 
Timestamp,Dominant_Emotion,Confidence,Top_3_Emotions
2025-11-01 22:08:23,Fear,61.16,"[('Fear', 61.16), ('Neutral', 21.48), ('Surprise', 17.36)]"
2025-11-01 22:08:25,Neutral,81.69,"[('Neutral', 81.69), ('Sad', 12.74), ('Disgust', 5.57)]"
2025-11-01 22:08:27,Happy,99.99,"[('Happy', 99.99), ('Neutral', 0.01), ('Surprise', 0.00)]"
2025-11-01 22:08:29,Neutral,95.38,"[('Neutral', 95.38), ('Sad', 3.29), ('Fear', 1.33)]"
2025-11-01 22:08:31,Happy,96.23,"[('Happy', 96.23), ('Surprise', 2.88), ('Neutral', 0.89)]"
2025-11-01 22:08:33,Disgust,83.29,"[('Disgust', 83.29), ('Neutral', 10.48), ('Fear', 6.23)]"
2025-11-01 22:08:35,Neutral,75.18,"[('Neutral', 75.18), ('Happy', 12.67), ('Surprise', 12.15)]"
2025-11-01 22:08:37,Sad,88.47,"[('Sad', 88.47), ('Neutral', 6.27), ('Disgust', 5.26)]"
2025-11-01 22:08:39,Fear,78.59,"[('Fear', 78.59), ('Surprise', 11.83), ('Neutral', 9.58)]"
2025-11-01 22:08:41,Neutral,81.11,"[('Neutral', 81.11), ('Happy', 12.84), ('Disgust', 6.05)]"
2025-11-01 22:08:43,Disgust,67.47,"[('Disgust', 67.47), ('Neutral', 19.27), ('Fear', 13.26)]"
2025-11-01 22:08:45,Happy,93.82,"[('Happy', 93.82), ('Neutral', 4.64), ('Surprise', 1.54)]"
2025-11-01 22:08:47,Neutral,82.93,"[('Neutral', 82.93), ('Sad', 10.44), ('Disgust', 6.63)]"
2025-11-01 22:08:49,Fear,69.54,"[('Fear', 69.54), ('Neutral', 18.21), ('Disgust', 12.25)]"
2025-11-01 22:08:51,Surprise,92.38,"[('Surprise', 92.38), ('Happy', 4.97), ('Fear', 2.65)]"
2025-11-01 22:08:53,Neutral,79.12,"[('Neutral', 79.12), ('Sad', 12.67), ('Disgust', 8.21)]"
2025-11-01 22:08:55,Happy,97.44,"[('Happy', 97.44), ('Surprise', 1.89), ('Neutral', 0.67)]"
2025-11-01 22:08:57,Disgust,76.58,"[('Disgust', 76.58), ('Neutral', 13.74), ('Fear', 9.68)]"
2025-11-01 22:08:59,Neutral,84.26,"[('Neutral', 84.26), ('Sad', 9.81), ('Disgust', 5.93)]"
2025-11-01 22:09:01,Happy,91.72,"[('Happy', 91.72), ('Neutral', 6.12), ('Surprise', 2.16)]"
2025-11-02 10:41:24,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 11:26:46,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:30:49,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:31:57,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:32:49,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:34:25,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:35:31,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:36:34,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:37:37,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 12:38:34,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-03 14:26:53,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-04 22:56:09,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-04 22:59:28,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-05 11:10:13,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
2025-11-05 11:43:06,fear,77.75,"[('fear', 77.75), ('nervousness', 7.1), ('disgust', 4.7)]"
